YEAR, MONTH, DAY, meanTemp
1948,7,1,79.00000
1948,7,2,82.50000
1948,7,3,81.00000
1948,7,4,81.50000
1948,7,5,82.00000
1948,7,6,82.00000
1948,7,7,82.00000
1948,7,8,79.50000
1948,7,9,80.50000
1948,7,19,82.00000
1948,7,20,84.00000
1948,7,21,84.50000
1948,7,22,85.50000
1948,7,23,88.50000
1948,7,24,86.50000
1948,7,25,78.00000
1948,7,26,79.50000
1948,7,27,82.50000
1948,7,28,79.00000
1948,7,29,78.50000
1948,7,30,82.00000
1948,7,31,83.00000
1948,8,5,80.50000
1948,8,6,79.50000
1948,8,7,77.00000
1948,8,8,78.50000
1948,8,9,77.00000
1948,8,10,80.50000
1948,8,11,81.50000
1948,8,12,81.50000
1948,8,13,84.50000
1948,8,14,85.00000
1948,8,15,82.50000
1948,8,16,83.00000
1948,8,17,81.00000
1948,8,18,82.00000
1948,8,19,82.00000
1948,8,20,82.50000
1948,8,21,80.00000
1948,8,22,79.50000
1948,8,23,78.50000
1948,8,24,80.50000
1948,8,25,82.50000
1948,8,26,81.00000
1948,9,1,80.00000
1948,9,2,80.00000
1948,9,3,73.50000
1948,9,4,75.50000
1948,9,5,78.50000
1948,9,6,78.00000
1948,9,7,79.50000
1948,9,8,79.50000
1948,9,9,81.50000
1948,9,10,79.00000
1948,9,11,76.00000
1948,9,12,75.50000
1948,9,13,73.00000
1948,9,14,71.00000
1948,9,15,76.00000
1948,9,16,80.00000
1948,9,17,79.00000
1948,9,18,78.00000
1948,9,19,77.50000
1948,9,20,77.00000
1948,9,21,78.50000
1948,9,22,79.00000
1948,9,23,81.00000
1948,9,24,75.00000
1948,9,25,73.00000
1948,9,26,73.00000
1948,9,27,64.00000
1948,9,28,69.50000
1948,9,29,70.00000
1948,9,30,73.00000
1948,10,1,70.00000
1948,10,2,75.00000
1948,10,3,73.50000
1948,10,4,72.50000
1948,10,5,65.00000
1948,10,6,66.50000
1948,10,7,70.00000
1948,10,8,71.00000
1948,10,9,67.50000
1948,10,10,68.50000
1948,10,11,76.00000
1948,10,12,73.50000
1948,10,13,69.50000
1948,10,14,68.00000
1948,10,15,69.50000
1948,10,16,70.50000
1948,10,17,66.50000
1948,10,18,50.50000
1948,10,19,55.00000
1948,10,20,58.50000
1948,10,21,61.50000
1948,10,22,64.50000
1948,10,23,65.00000
1948,10,24,63.50000
1948,10,25,64.00000
1948,10,26,63.50000
1948,10,27,64.00000
1948,10,28,64.50000
1948,10,29,67.00000
1948,10,30,70.00000
1948,10,31,71.00000
